id,dias,status,v41,cats,imagem,chars,temporalidade,titulo
267445,0,pending,,geopolitica,sim,3813,TEMPORAL,"Vigilância indiana sobre a China eleva risco de erro, diz pesquisadora"
267444,0,draft,sim,redacao,nao,3942,medio,"Guerra contra o Irã corta 183 km do tanque nos EUA"
267441,0,draft,sim,redacao,nao,7541,duravel,"OpenAI amplia operação no Brasil sob sombra da Casa Branca"
267405,0,pending,,geopolitica,sim,3431,TEMPORAL,"Lai defende defesa recorde em Taiwan diante da pressão chinesa"
267425,0,draft,sim,redacao,nao,1614,medio,"Bola da Mão de Deus é vendida por US$ 3,35 milhões"
267424,0,draft,sim,redacao,nao,2154,duravel,"Bitcoin supera US$ 77 mil e liquida US$ 1 bilhão em vendas a descoberto"
267423,0,pending,,geopolitica,sim,2406,TEMPORAL,"Gasolina sobe em ao menos 145 países após ataques ao Irã"
267422,0,draft,sim,redacao,nao,1745,TEMPORAL,"Irã ameaça bloquear todo petróleo do golfo Pérsico"
267398,0,draft,,geopolitica,sim,5952,TEMPORAL,"Irã ameaça travar petróleo do golfo Pérsico contra pressão dos EUA"
267417,0,pending,,cultura,sim,1650,medio,"Nosso Segredo, de Grace Passô, vence o Kikito em Gramado"
267416,0,draft,sim,redacao,nao,1901,duravel,"Irã aprova pedágio no estreito de Ormuz e exige pagamento em moeda iraniana"
267415,0,draft,sim,redacao,sim,3309,duravel,"ONS suspende geração excedente de energia pela segunda vez no ano"
267414,0,draft,sim,redacao,nao,2314,duravel,"Chega copia Bolsonaro e usa mulheres conservadoras para atrair evangélicos"
267411,0,draft,sim,redacao,nao,2620,medio,"Data center da Microsoft e G42 reacende temor hídrico em Naivasha"
267410,0,draft,sim,redacao,sim,2324,duravel,"31% dos eleitores de Flávio Bolsonaro não veem problema na interferência externa"
267408,0,draft,sim,redacao,nao,4756,medio,"EUA ameaçam isolar países que financiem comércio com Irã"
267407,0,draft,sim,redacao,sim,8499,duravel,"Brasil financia supercomputação com Huawei sob risco de dependência"
267388,0,draft,,geopolitica,sim,4074,medio,"EUA ameaçam países que mantiverem canais financeiros do Irã"
267403,0,draft,sim,redacao,nao,3338,TEMPORAL,"Ataque com drone mata duas crianças em Krasnodar"
267395,0,draft,sim,redacao,nao,5876,TEMPORAL,"Irã ameaça barrar petróleo no Golfo se Trump ampliar sanções"
267380,0,draft,,geopolitica,sim,3171,TEMPORAL,"Irã ameaça barrar petróleo do Golfo Pérsico sob pressão dos EUA"
267384,0,draft,sim,redacao,nao,5169,duravel,"Irã desafia sanções dos EUA e usa Ormuz para pressionar petróleo"
267366,0,draft,,geopolitica,sim,5304,duravel,"Irã desafia sanções dos Estados Unidos em disputa pelo petróleo"
267371,0,draft,sim,redacao,nao,5684,TEMPORAL,"Pezeshkian pede unidade no Irã contra pressão econômica dos EUA"
